steps,scenario,seed
3420000,High,397979
3430000,Low,193150
3440000,Medium,591049
3450000,High,156722
3460000,Low,804745
3470000,Medium,66557
3480000,High,381171
3490000,Low,405091
3500000,Medium,876963
3510000,High,491417
3520000,Low,353362
3530000,Medium,292008
3540000,High,993349
3550000,Low,730811
3560000,Medium,121929
3570000,High,443301
3580000,Low,764797
3590000,Medium,733791
3600000,High,443076
3610000,Low,973035
3620000,Medium,192104
3630000,High,814175
3640000,Low,500928
3650000,Medium,348878
3660000,High,47705
3670000,Low,923009
3680000,Medium,909709
3690000,High,203210
3700000,Low,144964
3710000,Medium,785958
3720000,High,572658
3730000,Low,637946
3740000,Medium,925647
3750000,High,319796
3760000,Low,825791
3770000,Medium,753494
3780000,High,479080
3790000,Low,576900
3800000,Medium,167167
3810000,High,432419
3820000,Low,188493
3830000,Medium,476899
3840000,High,753354
3850000,Low,188448
3860000,Medium,401030
3870000,High,991135
3880000,Low,109604
3890000,Medium,845548
3900000,High,64154
3910000,Low,660265
3920000,Medium,520758
3930000,High,63525
3940000,Low,336391
3950000,Medium,741939
3960000,High,794706
3970000,Low,588813
3980000,Medium,879447
3990000,High,243107
4000000,Low,303306
4010000,Medium,808916
4020000,High,164331
4030000,Low,338100
4040000,Medium,980243
4050000,High,553669
4060000,Low,622366
4070000,Medium,998118
4080000,High,243963
4090000,Low,830528
4100000,Medium,616165
4110000,High,312684
4120000,Low,839459
4130000,Medium,345009
4140000,High,291216
4150000,Low,146977
4160000,Medium,124275
4170000,High,73175
4180000,Low,195148
4190000,Medium,848516
4200000,High,612236
4210000,Low,502072
4220000,Medium,928513
4230000,High,844151
4240000,Low,890339
4250000,Medium,979828
4260000,High,874214
4270000,Low,429228
4280000,Medium,751067
4290000,High,142012
4300000,Low,235632
4310000,Medium,438491
4320000,High,695030
4330000,Low,681358
4340000,Medium,34361
4350000,High,617582
4360000,Low,452017
4370000,Medium,978557
4380000,High,147558
4390000,Low,809910
4400000,Medium,778541
4410000,High,678267
4420000,Low,87199
4430000,Medium,631716
4440000,High,487740
4450000,Low,787313
4460000,Medium,389339
4470000,High,803580
4480000,Low,755772
4490000,Medium,129526
4500000,High,516172
4510000,Low,794612
4520000,Medium,486207
4530000,High,813298
4540000,Low,305000
4550000,Medium,238449
4560000,High,921248
4570000,Low,760845
4580000,Medium,630298
4590000,High,237006
4600000,Low,190245
4610000,Medium,776625
4620000,High,472207
4630000,Low,584440
4640000,Medium,811743
4650000,High,862848
4660000,Low,483609
4670000,Medium,537744
4680000,High,26609
4690000,Low,15660
4700000,Medium,902071
4710000,High,561196
4720000,Low,527452
4730000,Medium,374162
4740000,High,992456
4750000,Low,16373
4760000,Medium,591140
4770000,High,189384
4780000,Low,142502
4790000,Medium,963438
4800000,High,209251
4810000,Low,456934
4820000,Medium,147168
4830000,High,43132
4840000,Low,385621
4850000,Medium,871979
4860000,High,472496
4870000,Low,747475
4880000,Medium,811052
4890000,High,921114
4900000,Low,483999
4910000,Medium,469879
4920000,High,854166
4930000,Low,373607
4940000,Medium,236485
4950000,High,851525
4960000,Low,983396
4970000,Medium,542534
4980000,High,621849
4990000,Low,14291
5000000,Medium,638340
5010000,High,418363
5020000,Low,678151
5030000,Medium,859029
5040000,High,697221
5050000,Low,847590
5060000,Medium,198337
5070000,High,476454
5080000,Low,242354
5090000,Medium,276227
5100000,High,251989
5110000,Low,190241
5120000,Medium,236373
5130000,High,767986
5140000,Low,994132
5150000,Medium,983598
5160000,High,829879
5170000,Low,389137
5180000,Medium,839725
5190000,High,280365
5200000,Low,120901
5210000,Medium,303757
5220000,High,720898
5230000,Low,704988
5240000,Medium,592194
5250000,High,754399
5260000,Low,980501
5270000,Medium,111605
5280000,High,381105
5290000,Low,84927
5300000,Medium,767029
5310000,High,86611
5320000,Low,213781
5330000,Medium,998184
5340000,High,461344
5350000,Low,96691
5360000,Medium,446034
5370000,High,19882
5380000,Low,740586
5390000,Medium,668832
5400000,High,457476
5410000,Low,566879
5420000,Medium,254207
5430000,High,570530
5440000,Low,588802
5450000,Medium,263235
5460000,High,444887
5470000,Low,706754
5480000,Medium,563738
5490000,High,601497
5500000,Low,588167
5510000,Medium,642557
5520000,High,844134
5530000,Low,487154
5540000,Medium,791351
5550000,High,325288
5560000,Low,633137
5570000,Medium,657115
5580000,High,980134
5590000,Low,98762
5600000,Medium,694045
5610000,High,301548
5620000,Low,662043
5630000,Medium,998636
5640000,High,887830
5650000,Low,62353
5660000,Medium,924458
5670000,High,602913
5680000,Low,291538
5690000,Medium,299891
5700000,High,204523
5710000,Low,53515
5720000,Medium,684789
5730000,High,700051
5740000,Low,709922
5750000,Medium,500051
5760000,High,857791
5770000,Low,630646
5780000,Medium,212981
5790000,High,646238
5800000,Low,661833
5810000,Medium,15914
5820000,High,276950
5830000,Low,350107
5840000,Medium,21363
5850000,High,723821
5860000,Low,915595
5870000,Medium,899390
5880000,High,223619
5890000,Low,52745
5900000,Medium,265175
5910000,High,988536
5920000,Low,549170
5930000,Medium,282818
5940000,High,692224
5950000,Low,993570
5960000,Medium,435996
5970000,High,173445
5980000,Low,884567
5990000,Medium,53746
6000000,High,728495
6010000,Low,341155
6020000,Medium,182307
6030000,High,956535
6040000,Low,406164
6050000,Medium,597194
6060000,High,829907
6070000,Low,190329
6080000,Medium,328754
6090000,High,386888
6100000,Low,421076
6110000,Medium,382064
6120000,High,479487
6130000,Low,215556
6140000,Medium,318779
6150000,High,768036
6160000,Low,335418
6170000,Medium,21687
6180000,High,236493
6190000,Low,796527
6200000,Medium,523744
6210000,High,380175
6220000,Low,941513
6230000,Medium,282197
6240000,High,290187
6250000,Low,922689
6260000,Medium,713778
6270000,High,247794
6280000,Low,527787
6290000,Medium,219780
6300000,High,261678
6310000,Low,193140
6320000,Medium,341086
6330000,High,275584
6340000,Low,8086
6350000,Medium,604546
6360000,High,112189
6370000,Low,355571
6380000,Medium,532217
6390000,High,794654
6400000,Low,182442
6410000,Medium,995935
6420000,High,164725
6430000,Low,115636
6440000,Medium,830468
6450000,High,665540
6460000,Low,705961
6470000,Medium,877704
6480000,High,96332
6490000,Low,835958
6500000,Medium,501042
6510000,High,284570
6520000,Low,212360
6530000,Medium,305849
6540000,High,694696
6550000,Low,545568
6560000,Medium,534833
6570000,High,116325
6580000,Low,667765
6590000,Medium,648824
6600000,High,248261
6610000,Low,389933
6620000,Medium,833274
6630000,High,252763
6640000,Low,615937
6650000,Medium,297678
6660000,High,984743
6670000,Low,846445
6680000,Medium,174338
6690000,High,102706
6700000,Low,45641
6710000,Medium,159319
6720000,High,175194
6730000,Low,656437
6740000,Medium,269189
6750000,High,410822
6760000,Low,730752
6770000,Medium,13549
6780000,High,95503
6790000,Low,255778
6800000,Medium,283074
6810000,High,169412
6820000,Low,118898
6830000,Medium,391717
6840000,High,869827
6850000,Low,310725
6860000,Medium,893776
6870000,High,447030
6880000,Low,236100
6890000,Medium,252818
6900000,High,934953
6910000,Low,412409
6920000,Medium,574196
6930000,High,271920
6940000,Low,771614
6950000,Medium,396169
6960000,High,952376
6970000,Low,781263
6980000,Medium,395721
6990000,High,773165
7000000,Low,493158
7010000,Medium,921279
7020000,High,960943
7030000,Low,521476
7040000,Medium,811337
7050000,High,428311
7060000,Low,379703
7070000,Medium,726523
7080000,High,102342
7090000,Low,935723
7100000,Medium,537070
7110000,High,846156
7120000,Low,223107
7130000,Medium,992946
7140000,High,909554
7150000,Low,552814
7160000,Medium,755296
7170000,High,598228
7180000,Low,800119
7190000,Medium,128577
7200000,High,114819
7210000,Low,321499
7220000,Medium,119133
7230000,High,477437
7240000,Low,709803
7250000,Medium,840612
7260000,High,547209
7270000,Low,606296
7280000,Medium,43727
7290000,High,515150
7300000,Low,843018
7310000,Medium,465631
7320000,High,106026
7330000,Low,394575
7340000,Medium,858244
7350000,High,21276
7360000,Low,901957
7370000,Medium,500421
7380000,High,479824
7390000,Low,518482
7400000,Medium,491454
7410000,High,872467
7420000,Low,97905
7430000,Medium,957836
7440000,High,25687
7450000,Low,946935
7460000,Medium,94099
7470000,High,275141
7480000,Low,358479
7490000,Medium,448562
7500000,High,682333
7510000,Low,724877
7520000,Medium,194210
7530000,High,764549
7540000,Low,882376
7550000,Medium,801325
7560000,High,569447
7570000,Low,733053
7580000,Medium,316800
7590000,High,543322
7600000,Low,546835
7610000,Medium,109245
7620000,High,574903
7630000,Low,64765
7640000,Medium,976969
7650000,High,723689
7660000,Low,770553
7670000,Medium,920575
7680000,High,796026
7690000,Low,432281
7700000,Medium,138982
7710000,High,108252
7720000,Low,361874
7730000,Medium,626093
7740000,High,172781
7750000,Low,156530
7760000,Medium,986999
7770000,High,96079
7780000,Low,38520
7790000,Medium,143638
7800000,High,376745
7810000,Low,855114
7820000,Medium,934663
7830000,High,843628
7840000,Low,307574
7850000,Medium,688904
7860000,High,612596
7870000,Low,959633
7880000,Medium,461021
7890000,High,586062
7900000,Low,593709
7910000,Medium,513584
7920000,High,868230
7930000,Low,83875
7940000,Medium,16904
7950000,High,914844
7960000,Low,334159
7970000,Medium,132504
7980000,High,379534
7990000,Low,9311
8000000,Medium,58213
8010000,High,215843
8020000,Low,525143
8030000,Medium,702360
8040000,High,348018
8050000,Low,227110
8060000,Medium,778517
8070000,High,207103
8080000,Low,702554
8090000,Medium,127304
8100000,High,24035
8110000,Low,813596
8120000,Medium,546655
8130000,High,869372
8140000,Low,905468
8150000,Medium,859042
8160000,High,131184
8170000,Low,230518
8180000,Medium,889654
8190000,High,308051
8200000,Low,528512
8210000,Medium,743765
8220000,High,139170
8230000,Low,930556
8240000,Medium,500960
8250000,High,374406
8260000,Low,207987
8270000,Medium,520545
8280000,High,114524
8290000,Low,539455
8300000,Medium,23453
8310000,High,334576
8320000,Low,143008
8330000,Medium,130259
8340000,High,508697
8350000,Low,76599
8360000,Medium,282532
8370000,High,954917
8380000,Low,192996
8390000,Medium,862296
8400000,High,214566
8410000,Low,573613
8420000,Medium,379980
8430000,High,752973
8440000,Low,162421
8450000,Medium,116357
8460000,High,278233
8470000,Low,398996
8480000,Medium,213547
8490000,High,642005
8500000,Low,873310
8510000,Medium,983020
8520000,High,974936
8530000,Low,899787
8540000,Medium,704154
8550000,High,250384
8560000,Low,846428
8570000,Medium,323600
8580000,High,260383
8590000,Low,450693
8600000,Medium,998659
8610000,High,836777
8620000,Low,936642
8630000,Medium,546143
8640000,High,622925
8650000,Low,474748
8660000,Medium,797584
8670000,High,735352
8680000,Low,442914
8690000,Medium,643557
8700000,High,512891
8710000,Low,686060
8720000,Medium,592989
8730000,High,207412
8740000,Low,71107
8750000,Medium,995157
8760000,High,690374
8770000,Low,622009
8780000,Medium,364534
8790000,High,783722
8800000,Low,713054
8810000,Medium,18715
8820000,High,592813
8830000,Low,25272
8840000,Medium,499616
8850000,High,116560
8860000,Low,49855
8870000,Medium,296299
8880000,High,536302
8890000,Low,959229
8900000,Medium,195973
8910000,High,16265
8920000,Low,660360
8930000,Medium,411540
8940000,High,424598
8950000,Low,674450
8960000,Medium,499696
8970000,High,419483
8980000,Low,771640
8990000,Medium,659920
9000000,High,201975
9010000,Low,556557
9020000,Medium,692040
9030000,High,516032
9040000,Low,482781
9050000,Medium,554797
9060000,High,442102
9070000,Low,73953
9080000,Medium,613842
9090000,High,608126
9100000,Low,842482
9110000,Medium,873372
9120000,High,292764
9130000,Low,992394
9140000,Medium,334229
9150000,High,341482
9160000,Low,541826
9170000,Medium,863060
9180000,High,646993
9190000,Low,369515
9200000,Medium,38950
9210000,High,399214
9220000,Low,21420
9230000,Medium,683976
9240000,High,756156
9250000,Low,325834
9260000,Medium,622757
9270000,High,502708
9280000,Low,245807
9290000,Medium,896246
9300000,High,372715
9310000,Low,514564
9320000,Medium,248410
9330000,High,198572
9340000,Low,353380
9350000,Medium,785750
9360000,High,589915
9370000,Low,426498
9380000,Medium,538135
9390000,High,318469
9400000,Low,898087
9410000,Medium,206759
9420000,High,964261
9430000,Low,815204
9440000,Medium,701859
9450000,High,947107
9460000,Low,962389
9470000,Medium,520068
9480000,High,534989
9490000,Low,144033
9500000,Medium,24319
9510000,High,865193
9520000,Low,222359
9530000,Medium,89788
9540000,High,705843
9550000,Low,416871
9560000,Medium,731035
9570000,High,923111
9580000,Low,919477
9590000,Medium,686707
9600000,High,877000
9610000,Low,471914
9620000,Medium,993180
9630000,High,885123
9640000,Low,735534
9650000,Medium,751260
9660000,High,790880
9670000,Low,155138
9680000,Medium,400526
9690000,High,470433
9700000,Low,321945
9710000,Medium,822897
9720000,High,548049
9730000,Low,858566
9740000,Medium,186900
9750000,High,199937
9760000,Low,788154
9770000,Medium,694782
9780000,High,699503
9790000,Low,386836
9800000,Medium,763182
9810000,High,723291
9820000,Low,990447
9830000,Medium,438673
9840000,High,637157
9850000,Low,369783
9860000,Medium,991967
9870000,High,238942
9880000,Low,912979
9890000,Medium,779825
9900000,High,556114
9910000,Low,758410
9920000,Medium,305012
9930000,High,543898
9940000,Low,753879
9950000,Medium,188082
9960000,High,362537
9970000,Low,970584
9980000,Medium,847172
9990000,High,688308
10000000,Low,452208
10010000,Medium,417771
10020000,High,758053
10030000,Low,254244
10040000,Medium,590851
10050000,High,807655
10060000,Low,714561
10070000,Medium,517647
10080000,High,763057
10090000,Low,542258
10100000,Medium,275095
10110000,High,227694
10120000,Low,602542
10130000,Medium,74529
10140000,High,331397
10150000,Low,343482
10160000,Medium,30583
10170000,High,267610
10180000,Low,406133
10190000,Medium,116893
10200000,High,863300
10210000,Low,790323
10220000,Medium,17574
10230000,High,330174
10240000,Low,191271
10250000,Medium,400752
10260000,High,615577
10270000,Low,604705
10280000,Medium,601241
10290000,High,291127
10300000,Low,342719
10310000,Medium,638359
10320000,High,703584
10330000,Low,350747
10340000,Medium,519024
10350000,High,72555
10360000,Low,528034
10370000,Medium,815119
10380000,High,964840
10390000,Low,514529
10400000,Medium,130680
10410000,High,217996
10420000,Low,224919
10430000,Medium,309258
10440000,High,764264
10450000,Low,697011
10460000,Medium,313036
10470000,High,101550
10480000,Low,811451
10490000,Medium,805371
10500000,High,427909
10510000,Low,427264
10520000,Medium,171713
10530000,High,682515
10540000,Low,294675
10550000,Medium,35304
10560000,High,607065
10570000,Low,213403
10580000,Medium,574154
10590000,High,60713
10600000,Low,330990
10610000,Medium,91715
10620000,High,448501
10630000,Low,817297
10640000,Medium,207671
10650000,High,105264
10660000,Low,129622
10670000,Medium,901746
10680000,High,382907
10690000,Low,349641
10700000,Medium,646390
10710000,High,437208
10720000,Low,43823
10730000,Medium,932460
10740000,High,87571
10750000,Low,57023
10760000,Medium,284967
10770000,High,840374
10780000,Low,69784
10790000,Medium,865728
10800000,High,891644
10810000,Low,563854
10820000,Medium,855462
10830000,High,326601
10840000,Low,635345
10850000,Medium,193808
10860000,High,204770
10870000,Low,36137
10880000,Medium,182481
10890000,High,51827
10900000,Low,876103
10910000,Medium,154047
10920000,High,962785
10930000,Low,311615
10940000,Medium,516343
10950000,High,76592
10960000,Low,786428
10970000,Medium,800676
10980000,High,158665
10990000,Low,859158
11000000,Medium,440362
11010000,High,562467
11020000,Low,718935
11030000,Medium,696491
11040000,High,305666
11050000,Low,480872
11060000,Medium,357895
11070000,High,548549
11080000,Low,324400
11090000,Medium,984828
11100000,High,877642
11110000,Low,495768
11120000,Medium,704819
11130000,High,354059
11140000,Low,866601
11150000,Medium,850883
11160000,High,228646
11170000,Low,735265
11180000,Medium,546942
11190000,High,512151
11200000,Low,939191
11210000,Medium,126348
11220000,High,605434
11230000,Low,968761
11240000,Medium,421708
11250000,High,108240
11260000,Low,69626
11270000,Medium,953728
11280000,High,870307
11290000,Low,527886
11300000,Medium,361416
11310000,High,900895
11320000,Low,328725
11330000,Medium,217417
11340000,High,450525
11350000,Low,150577
11360000,Medium,715035
11370000,High,404853
11380000,Low,635572
11390000,Medium,698980
11400000,High,360437
11410000,Low,107404
11420000,Medium,790808
11430000,High,571061
11440000,Low,596410
11450000,Medium,954869
11460000,High,372599
11470000,Low,678291
11480000,Medium,567928
11490000,High,315808
11500000,Low,969184
11510000,Medium,449035
11520000,High,12523
11530000,Low,859677
11540000,Medium,570237
11550000,High,148805
11560000,Low,128580
11570000,Medium,841093
11580000,High,400175
11590000,Low,663801
11600000,Medium,874983
11610000,High,425666
11620000,Low,838126
11630000,Medium,134168
11640000,High,181721
11650000,Low,902313
11660000,Medium,673769
11670000,High,222253
11680000,Low,728393
11690000,Medium,746647
11700000,High,497361
11710000,Low,435111
11720000,Medium,298148
11730000,High,442180
11740000,Low,904995
11750000,Medium,381487
11760000,High,874942
11770000,Low,61037
11780000,Medium,153561
11790000,High,218721
11800000,Low,247306
11810000,Medium,52972
11820000,High,532457
11830000,Low,176724
11840000,Medium,70861
11850000,High,901812
11860000,Low,855325
11870000,Medium,330128
11880000,High,372659
11890000,Low,898070
11900000,Medium,25196
11910000,High,822493
11920000,Low,823936
11930000,Medium,291271
11940000,High,27217
11950000,Low,748888
11960000,Medium,862881
11970000,High,281597
11980000,Low,228707
11990000,Medium,767769
12000000,High,452687
